method,n_splits_valid_roc,roc_mean,roc_std,pr_mean,pr_std
plain_only,100,0.8739999999999999,0.05640162105066535,0.8765777127300873,0.06318546665251598
monai_only,100,0.7955,0.07084115202946434,0.830825013062562,0.06909568011342355
ensemble_fixed_w0.5,100,0.8906190476190475,0.05330975244001251,0.9078322091971474,0.044880220787995265
ensemble_fixed_w0.5_plus_age_sex_lr,100,0.9153333333333334,0.04770268844898337,0.9303121356868114,0.03788315102697829
ensemble_oracle_test_w (exploratory),100,0.9076190476190475,0.04925752587042191,0.921200750157743,0.045843126906570726
