repeat_id,n_test,roc_plain,pr_plain,roc_monai,pr_monai,roc_ensemble_w0.5,pr_ensemble_w0.5,roc_ensemble_oracle,pr_ensemble_oracle,oracle_best_w,roc_ensemble_plus_age_sex_lr,pr_ensemble_plus_age_sex_lr
0,29,0.8047619047619048,0.8642008608675275,0.7285714285714284,0.7859586378612747,0.7952380952380953,0.8669491810871122,0.8095238095238096,0.8685563538707555,0.8,0.842857142857143,0.9026526932612124
1,29,0.8095238095238095,0.8210149889097257,0.7523809523809525,0.7999613349613349,0.8238095238095238,0.8422054651002019,0.8333333333333333,0.8400593541305614,0.8,0.8571428571428571,0.8804683116447821
2,29,0.8285714285714285,0.863257132730817,0.7523809523809524,0.7168892631276532,0.8571428571428572,0.8857830126480012,0.8571428571428572,0.8857830126480012,0.5,0.8333333333333333,0.8877467587825644
3,29,0.8857142857142857,0.8957545069309775,0.8976190476190475,0.9240825493685905,0.9380952380952381,0.9486507936507935,0.9571428571428572,0.9695815295815295,0.3,0.9619047619047618,0.9665384615384616
4,29,0.8571428571428572,0.8024684574684575,0.9190476190476191,0.9337069248833954,0.9095238095238094,0.9073578273578273,0.9380952380952381,0.9457352941176469,0.2,0.9428571428571428,0.9484550743374272
5,29,0.8571428571428571,0.8764110158847,0.7857142857142857,0.8181651246357129,0.8904761904761904,0.9031619143383849,0.8952380952380952,0.9017890442890443,0.4,0.9047619047619048,0.912029876728019
6,29,0.9904761904761905,0.9913888888888889,0.8571428571428572,0.8818253603931353,0.9857142857142858,0.9866269841269841,0.9952380952380953,0.9958333333333333,0.6,0.9761904761904762,0.9796825396825397
7,29,0.819047619047619,0.8421274096274096,0.8285714285714285,0.8905577946957257,0.8523809523809525,0.8876970443349753,0.8761904761904762,0.9226060079204095,0.3,0.9142857142857143,0.9430969030969031
8,29,0.8571428571428572,0.829417831910092,0.8,0.8694355835735146,0.8952380952380953,0.9186337845161374,0.8952380952380953,0.9186337845161374,0.5,0.8999999999999999,0.9185531135531135
9,29,0.8523809523809524,0.8067479851303381,0.8333333333333334,0.8777187191893074,0.9238095238095237,0.9368931993931993,0.9285714285714286,0.9352390640548535,0.6,0.9047619047619048,0.9256277634138046
10,29,0.8,0.8161511473276178,0.7619047619047619,0.8441467093660076,0.8571428571428572,0.9077383918763229,0.8571428571428572,0.9077383918763229,0.5,0.8761904761904762,0.9174209315588626
11,29,0.8714285714285714,0.8631118533978946,0.7095238095238094,0.8230214791594102,0.8142857142857143,0.8744617909323791,0.8714285714285714,0.8631118533978946,1.0,0.8476190476190476,0.8943988255752962
12,29,0.8238095238095238,0.861209820775038,0.8857142857142857,0.8731980165803696,0.919047619047619,0.9294182778006306,0.9238095238095237,0.9270661854485382,0.4,0.9523809523809523,0.9601831123812548
13,29,0.8238095238095239,0.7875694675694676,0.7047619047619047,0.7001943378259169,0.8285714285714286,0.7884329668153198,0.8333333333333334,0.7940984124807654,0.4,0.8714285714285714,0.8654621158568526
14,29,0.8904761904761904,0.8630455492220198,0.8333333333333333,0.8714854583504469,0.9380952380952381,0.9479663367821263,0.9380952380952381,0.9479663367821263,0.5,0.9428571428571428,0.9493667443667444
15,29,0.9285714285714286,0.9423826173826173,0.7,0.7887192664385646,0.8857142857142858,0.9214376218323586,0.9333333333333333,0.949049284049284,0.9,0.9333333333333333,0.9533451842275371
16,29,0.9619047619047618,0.96510989010989,0.8809523809523809,0.9048348292001542,0.9476190476190476,0.9459401222559117,0.9714285714285715,0.9722667528549882,0.8,0.9619047619047619,0.9558085433085433
17,29,0.8428571428571429,0.8360176714124082,0.8523809523809524,0.8598213659978365,0.9047619047619048,0.8970342242323666,0.9095238095238095,0.9055789093946989,0.6,0.9333333333333333,0.9446312946312946
18,29,0.9142857142857143,0.9099745137903033,0.780952380952381,0.8383573833573832,0.9428571428571428,0.9476027189185083,0.9571428571428572,0.9598552754435107,0.6,0.9904761904761905,0.9913888888888889
19,29,0.8047619047619048,0.7776665926665927,0.7333333333333333,0.7587096454743514,0.7904761904761904,0.8136318801024682,0.8047619047619048,0.7776665926665927,1.0,0.8761904761904762,0.8883018523730597
20,29,0.7952380952380953,0.8083100722806604,0.8857142857142857,0.896559829059829,0.9190476190476191,0.9122401294382718,0.9333333333333333,0.936817545199898,0.3,0.8952380952380952,0.9057382286329654
21,29,0.9333333333333333,0.9378513591671486,0.7380952380952381,0.7404420144126026,0.9238095238095237,0.9074843674843674,0.9571428571428572,0.94747520997521,0.7,0.9523809523809523,0.9580589293747188
22,29,0.9571428571428571,0.9636144849302744,0.7857142857142857,0.82811904406298,0.9333333333333333,0.954025974025974,0.9714285714285714,0.9757936507936508,0.7,0.9714285714285714,0.9771241830065359
23,29,0.8095238095238095,0.7628787514465264,0.7476190476190476,0.7884485712659086,0.8714285714285714,0.8987384691332059,0.8714285714285714,0.8987384691332059,0.5,0.9380952380952381,0.9486507936507935
24,29,0.9,0.8912815237737839,0.7571428571428571,0.8459394011785315,0.9333333333333333,0.9493949677773207,0.9333333333333333,0.9493949677773207,0.5,0.9571428571428572,0.9704545454545455
25,29,0.9333333333333333,0.9378513591671486,0.6666666666666666,0.6918174899289451,0.9142857142857143,0.923511026011026,0.9428571428571428,0.9485669507650931,0.6,0.8904761904761904,0.8972916897916897
26,29,0.8666666666666667,0.8572102733867439,0.6285714285714286,0.6811569071942832,0.7904761904761906,0.8383436515204841,0.8666666666666667,0.8572102733867439,1.0,0.8142857142857144,0.8680673835768734
27,29,0.8904761904761905,0.9265847877612583,0.8,0.8415999202115354,0.8523809523809525,0.911152694329527,0.8904761904761905,0.9265847877612583,1.0,0.8904761904761905,0.9265359477124182
28,29,0.9095238095238096,0.9234367484367484,0.7952380952380952,0.8711449852829163,0.9142857142857144,0.9479259820639131,0.9190476190476191,0.9534815376194686,0.4,0.9285714285714286,0.9586056644880174
29,29,0.761904761904762,0.799392415863004,0.8095238095238095,0.8699839241218551,0.8095238095238095,0.8558756058756058,0.838095238095238,0.882634865134865,0.3,0.7761904761904761,0.8306699346405229
30,29,0.7904761904761906,0.7639274468221837,0.7666666666666666,0.8416718353121861,0.819047619047619,0.8646135537514847,0.819047619047619,0.8714654056033366,0.4,0.8571428571428571,0.8893189218189217
31,29,0.8761904761904762,0.8996789321789321,0.8333333333333334,0.8247923226870595,0.919047619047619,0.9134689384689384,0.9190476190476191,0.925482938114517,0.8,0.8904761904761904,0.9115870240870241
32,29,0.8333333333333334,0.7899832411597117,0.9047619047619048,0.9370915032679737,0.9190476190476191,0.9358025215761788,0.9380952380952381,0.9544611668524712,0.3,0.9380952380952382,0.958998778998779
33,29,0.8285714285714286,0.8228217713895463,0.7571428571428571,0.8122146907673223,0.7952380952380953,0.8449975830070728,0.8285714285714286,0.8228217713895463,1.0,0.8285714285714286,0.8684295291712171
34,29,0.9380952380952381,0.9419002840984265,0.7952380952380953,0.8284490720787665,0.9761904761904762,0.9796825396825397,0.980952380952381,0.9829505135387488,0.6,0.980952380952381,0.9829505135387488
35,29,0.9142857142857143,0.9180969030969031,0.9285714285714286,0.9472269251216618,0.9666666666666667,0.9716303579461474,0.9809523809523809,0.9844444444444445,0.3,0.9714285714285715,0.9749346405228758
36,29,0.9285714285714285,0.9495543345543345,0.6952380952380952,0.7530446346531539,0.861904761904762,0.9099075952219967,0.9285714285714285,0.9495543345543345,1.0,0.8857142857142857,0.9247841826789195
37,29,0.8761904761904762,0.8617557279321986,0.8619047619047618,0.9008457120221826,0.919047619047619,0.9317381801205329,0.9238095238095237,0.9411898395721925,0.4,0.9380952380952381,0.9463308913308912
38,29,0.8,0.8030767669386595,0.8523809523809525,0.9087246087246087,0.8904761904761905,0.912071632071632,0.8952380952380953,0.9222503422503422,0.4,0.9047619047619048,0.9234550743374272
39,29,0.7380952380952381,0.7294563769563769,0.8047619047619048,0.8634668109668109,0.7857142857142857,0.7828082718794793,0.8238095238095238,0.8582914596533522,0.3,0.861904761904762,0.8486865261787861
40,29,0.8380952380952381,0.859848033230386,0.7047619047619048,0.7919895727941705,0.8428571428571429,0.887349243987175,0.842857142857143,0.8813860405239715,0.6,0.8285714285714285,0.8853199454936821
41,29,0.9714285714285714,0.9698826173826173,0.7952380952380953,0.8523051633409688,0.9571428571428571,0.9562715062715061,0.9714285714285714,0.9698826173826173,0.7,0.9857142857142858,0.9877124183006536
42,29,0.919047619047619,0.9238152588152587,0.8523809523809524,0.8974217285981991,0.9380952380952381,0.9508903133903133,0.9428571428571428,0.9537420096243625,0.7,0.919047619047619,0.9321495025442392
43,29,0.738095238095238,0.7424932669669511,0.7238095238095238,0.697822751960683,0.7571428571428571,0.775874700012631,0.7666666666666666,0.7579973680795715,0.3,0.8238095238095239,0.864733945678218
44,29,0.9285714285714286,0.928320394202747,0.919047619047619,0.9437037037037037,0.9666666666666667,0.9716303579461474,0.9666666666666667,0.9716303579461474,0.5,0.9857142857142858,0.9877124183006536
45,29,0.838095238095238,0.7942468496415864,0.8333333333333334,0.9002737520128824,0.9047619047619047,0.9092848654613359,0.9047619047619048,0.9041566603331308,0.7,0.8857142857142857,0.9113176638176637
46,29,0.8619047619047618,0.9066314731020613,0.7380952380952381,0.8030564336129016,0.8857142857142856,0.9214807414807414,0.9,0.9294762753586282,0.6,0.9666666666666667,0.9742002063983488
47,29,0.8666666666666666,0.8255363917128623,0.8476190476190476,0.8614926298282066,0.8952380952380952,0.907895978290715,0.9,0.8976917801840402,0.8,0.8952380952380952,0.9046124521047121
48,29,0.9095238095238095,0.8796577496577497,0.861904761904762,0.8971790083554789,0.919047619047619,0.9191323600147129,0.9285714285714286,0.9378893328893327,0.4,0.9428571428571428,0.9458258408258408
